code,description
3543,DENTAL EQUIPMENT AND SUPPLIES
3550,OPTHALMIC GOODS
3560,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
3570,"WATCHES, CLOCKS AND PARTS"
3900,"MISCELLANEOUS MANUFACTURING, NEC"
3910,"JEWELRY, SILVERWARE, AND PLATED WARE - MANUFACTURING"
3911,JEWELRY AND PRECIOUS METALS - MANUFACTURING
3912,JEWELER'S FINDINGS AND MATERIALS
3913,LAPIDARY WORK
3914,SILVERWARE AND PLATED WARE
3920,MUSICAL INSTRUMENTS AND PARTS
3930,"TOYS, AMUSEMENTS, SPORTING, AND ATHLETIC GOODS"
3940,"PENS, PENCILS, AND OTHER OFFICE AND ARTIST MATERIALS"
3950,"COSTUME JEWELRY, BUTTONS, AND MISCELLANEOUS NOTIONS"
3960,TOBACCO MANUFACTURING
3961,CIGARETTES - MANUFACTURING
3962,CIGARS - MANUFACTURING
3963,TOBACCO AND SNUFF
3964,TOBACCO STEMMING AND REDRYING
3970,MOTION PICTURE PRODUCTION
3971,RECORD PRODUCTION
3990,OTHER MISCELLANEOUS MANUFACTURING
3991,BROOMS AND BRUSHES
3992,LINOLEUM AND OTHER HARD SURFACE FLOOR COVERINGS
3993,MATCHES
3994,LAMP SHADES
3995,MORTICIAN'S GOODS
3996,FUR DRESSING AND DYEING
3997,SIGNS AND ADVERTISING DISPLAYS
3998,"UMBRELLAS, PARASOLS AND CANES"
4000,"TRANSPORTATION, COMMUNICATION, AND UTILITIES"
4100,"RAILROAD, RAPID RAIL TRANSIT, AND STREET RAILWAY TRANSPORTATION"
4110,RAILROAD TRANSPORTATION
4113,"RAILROAD TERMINALS, PASSENGER"
4114,"RAILROAD TERMINALS, FREIGHT"
4116,RAILROAD EQUIPMENT AND MAINTENANCE
4200,MOTOR VEHICLE TRANSPORTATION
4210,BUS TRANSPORTATION
4211,"BUS PASSENGER TERMINALS, INTER-CITY"
4212,"BUS PASSENGER TERMINALS, LOCAL"
4214,BUS GARAGING AND EQUIPMENT MAINTENANCE
4216,BUS PARKING
4220,MOTOR FREIGHT TRANSPORTATION
4221,MOTOR FREIGHT TERMINALS
4222,MOTOR FREIGHT GARAGING AND EQUIPMENT MAINTENANCE
4223,TRUCK PARKING-IMPROVED
4224,TRUCK PARKING-UNIMPROVED
4225,DELIVERY OR EXPRESS SERVICES
4290,OTHER MOTOR VEHICLE TRANSPORTATION
4291,TAXI AND TAXI DRIVER
4292,PREMIUM SEDAN VEHICLE
4293,PREMIUM SEDAN DRIVER
4294,PREMIUM SEDAN TRANSPORTATION
4300,AIRCRAFT TRANSPORTATION
4391,HELIPORT LANDING/TAKEOFF PADS
4400,MARINE CRAFT TRANSPORTATION
4410,MARINE TERMINALS
4411,"MARINE TERMINALS, PASSENGER"
4412,"MARINE TERMINALS, FREIGHT"
4500,HIGHWAY AND STREET RIGHT-OF-WAY
4600,AUTOMOBILE PARKING
4610,PAID AUTO PARKING
4620,AUTO PARKING GARAGES
4630,AUTO PARKING LOTS-IMPROVED
4640,AUTO PARKING LOTS-UNIMPROVED
4700,COMMUNICATION
4710,TELEPHONE COMMUNICATION
4711,TELEPHONE EXCHANGE STATIONS
4720,TELEGRAPH COMMUNICATION
4721,TELEGRAPH MESSAGE CENTERS
4722,TELEGRAPH TRANSMITTING AND RECEIVING STATIONS
4730,RADIO COMMUNICATION
4731,RADIO BROADCASTING STUDIOS
4732,RADIO TRANSMITTING STATIONS
4740,TELEVISION COMMUNICATIONS
4741,TELEVISION BROADCASTING STUDIOS
4742,TELEVISION TRANSMITTING STATIONS
4745,CABLE T.V. INSTALLATION
4746,CABLE T.V. INVESTIGATION
4790,OTHER COMMUNICATIONS
4800,UTILITIES
4810,ELECTRIC UTILITY
4812,ELECTRIC GENERATION PLANTS
4813,ELECTRICITY REGULATING SUBSTATIONS
4820,GAS UTILITY
4822,GAS PRODUCTION PLANTS
4823,GAS STORAGE AND DISTRIBUTION POINTS
4824,GAS PRESSURE CONTROL STATIONS
4830,WATER UTILITY
4832,WATER TREATMENT PLANTS
4833,WATER STORAGE
4835,WATER PRESSURE CONTROL STATIONS
4840,SEWAGE DISPOSAL
4841,SEWAGE TREATMENT PLANTS
4842,SEWAGE SLUDGE DRYING BEDS
4843,SEWAGE PRESSURE CONTROL STATION
4850,SOLID WASTE DISPOSAL
4851,REFUSE INCINERATION
4852,CENTRAL GARBAGE GRINDING STATIONS
4853,COMPOSTING PLANTS
4854,SANITARY LAND FILLS
4855,REFUSE DISPOSALS
4856,INDUSTRIAL WASTE DISPOSALS
4890,OTHER UTILITIES
4900,"OTHER TRANSPORTATION, COMMUNICATION, AND UTILITIES, NEC"
4910,OTHER PRESSURE CONTROL STATIONS
4912,PETROLEUM PRESSURE CONTROL STATION
4920,TRANSPORTATION SERVICES AND ARRANGEMENTS
4921,FREIGHT FORWARD SERVICES
4922,MOVING AND STORAGE
4923,TRAVEL ARRANGING SERVICES
4924,TRANSPORTATION TICKET SERVICES
4925,MESSENGER AND DELIVERY SERVICES
4930,HAULERS
5000,TRADE
5045,CURB MARKET
5050,DRUMMER/PEDDLER
5055,JUNK PEDDLER/PUSH CART
5056,JUNK PEDDLER/WAGON
5060,ITINERANT VENDOR
5061,VENDOR-FESTIVAL
5062,VENDOR-SIDEWALK
5063,VENDOR-VEHICLE
5064,COPPER PROPERTY PEDDLER
5100,WHOLESALE TRADE
5110,MOTOR VEHICLES AND AUTOMOTIVE EQUIPMENT
5111,TOWING/WRECKERS
5112,AUTOMOTIVE EQUIPMENT
5113,TIRE AND TUBES
5115,COMMERCIAL CONDO
5120,NO LONGER USED
5121,DRUG AND DRUGGISTS' SUNDRIES
5122,PAINTS AND VARNISHES
5130,DRY GOODS AND APPAREL
5131,DRY GOODS AND NOTIONS
5132,"APPAREL, HOSIERY, LINGERIE AND ACCESSORIES"
5133,FOOTWEAR
5140,GROCERIES AND RELATED PRODUCTS
5141,GROCERIES - WHOLESALE
5142,DAIRY PRODUCTS - WHOLESALE
5143,POULTRY AND POULTRY PRODUCTS
5144,CONFECTIONERY PRODUCTS
5145,FISH AND SEAFOOD - WHOLESALE
5146,MEAT AND MEAT PRODUCTS
5147,FRESH FRUITS AND VEGETABLES
5150,FARM PRODUCTS
5151,COTTON
5152,GRAIN
5153,"HIDES, SKINS AND RAW FURS"
5154,LEAF TOBACCO
5155,WOOL
5156,LIVESTOCK
5157,HORSES AND MULES
5160,ELECTRICAL GOODS
5161,ELECTRICAL SUPPLIES AND EQUIPMENT WHOLESALE
5162,ELECTRICAL APPLIANCES
5170,"HARDWARE, PLUMBING, HEATING EQUIPMENT, AND SUPPLIES"
5171,HARDWARE
5172,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES
5173,"AIR CONDITIONING, REFRIGERATED EQUIPMENT AND SUPPLIES"
5180,"MACHINERY, EQUIPMENT, AND SUPPLIES"
5181,"COMMERCIAL AND INDUSTRIAL MACHINERY, EQUIPMENT, AND SUPPLIES"
5182,FARM MACHINERY AND EQUIPMENT
5183,PROFESSIONAL EQUIPMENT AND SUPPLIES
5184,EQUIPMENT AND SUPPLIES FOR SERVICE ESTABLISHMENTS
5185,TRANSPORTATION EQUIPMENT AND SUPPLIES
5190,OTHER WHOLESALE TRADE
5191,METALS AND MINERALS
5192,PETROLEUM BULK STATIONS AND TERMINALS
5193,SCRAP AND WASTE MATERIALS
5194,TOBACCO AND TOBACCO PRODUCTS
5195,"BEER, WINE AND DISTILLED ALCOHOLIC BEVERAGES"
5196,PAPER AND PAPER PRODUCTS
5197,FURNITURE AND HOME FURNISHINGS
5198,LUMBER AND CONSTRUCTION MATERIALS
5200,"RETAIL TRADE - BUILDING MATERIALS, HARDWARE, AND FARM EQUIPMENT"
5210,LUMBER AND OTHER BUILDING MATERIALS - RETAIL
5211,LUMBER YARDS
5212,BUILDING MATERIALS
5215,LOCK & KEY STORES
5220,HEATING AND A/C
5230,"PAINT, GLASS AND WALLPAPER"
5240,ELECTRICAL SUPPLIES
5250,HARDWARE AND FARM EQUIPMENT
5251,HARDWARE
5252,FARM EQUIPMENT
5300,RETAIL TRADE - GENERAL MERCHANDISE
5310,DEPARTMENT STORES
5320,MAIL ORDER HOUSES
5330,VARIETY STORES
5340,VENDING MACHINE OPERATORS
5350,DIRECT SELLING ORGANIZATIONS
5390,OTHER RETAIL TRADE
5392,GENERAL STORES
5393,CARNIVAL SUPPLIES
5400,RETAIL TRADE - FOOD
5410,GROCERIES - RETAIL
5420,MEATS AND FISH
5421,MEATS
5422,FISH AND SEAFOODS - RETAIL
5430,FRUITS AND VEGETABLES
5440,"CONFECTIONERY, CANDY, AND NUT"
5445,SNOW CONE/ICE CREAM
5450,DAIRY PRODUCTS - RETAIL
5460,BAKERIES
5461,BAKERIES (MANUFACTURING)
5462,BAKERIES (NON-MANUFACTURING)
5490,OTHER FOOD
5491,EGG AND POULTRY
5500,"RETAIL TRADE - AUTOMOTIVE, MARINE CRAFT, AIRCRAFT, AND ACCESSORIES"
5510,MOTOR VEHICLES
5511,AUTOMOBILE DEALER
5512,AUTOMOBILES (USED ONLY)
5513,TRUCKS (NEW AND USED)
5514,TRUCKS (USED ONLY)
5516,MOTORCYCLES (NEW AND USED)
5517,MOTORCYCLES (USED ONLY)
5530,GASOLINE SERVICE STATIONS
5590,"AUTOMOTIVE, MARINE, AIR CRAFT AND ACCESSORIES"
5591,MARINE CRAFT AND ACCESSORIES
5592,AIR CRAFT AND ACCESSORIES
