demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
36199060000,3010 N Newstead Avenue,14469060180,348.3,4401-7 ST LOUIS AV,63115,0,0,5000,N,800,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,3010 N Newstead Avenue
36199060000,3010 N Newstead Avenue,14468060810,378.6,2908 N NEWSTEAD AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,3010 N Newstead Avenue; 4327 Labadie Avenue
36209520000,4327 Labadie Avenue,13620000400,354.1,3105 CLARENCE AV,63115,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4327 Labadie Avenue
36209520000,4327 Labadie Avenue,13691000190,476.0,4320 ST LOUIS AV,63115,0,0,6800,N,0,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4327 Labadie Avenue
36209520000,4327 Labadie Avenue,14468140170,495.6,4233 W LABADIE AV,63115,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4327 Labadie Avenue
37039060000,4438 N Market Street,13702000360,342.2,4443 COTE BRILLIANTE AV,63113,0,0,1120,Y,870,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4438 N Market Street
37039060000,4438 N Market Street,13696000410,436.1,4369-71 GARFIELD AV,63113,0,0,6800,N,0,School / educational,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4438 N Market Street
37039060000,4438 N Market Street,13695000370,438.9,4367 NORTH MARKET ST,63113,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4438 N Market Street
37039060000,4438 N Market Street,13695000010,477.5,4366-8 ST FERDINAND AV,63113,0,0,9151,N,0,Code 9151 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4438 N Market Street
37039060000,4438 N Market Street,13696000400,491.1,4365 GARFIELD AV,63113,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4438 N Market Street
37109085000,4651 Labadie Avenue,13710010220,112.0,4665 LABADIE AV,63115,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Labadie Avenue; 4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13710010230,140.0,4667 LABADIE AV,63115,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13710010240,167.8,4673-87 LABADIE AV,63115,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13710010010,208.0,4674-6 GREER AV,63115,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13711010220,227.8,4657 ST LOUIS AV,63115,0,0,1110,Y,2250,Single-family residence,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Labadie Avenue; 4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13711010230,230.7,4659 ST LOUIS AV,63115,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4615 Labadie Avenue; 4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13710010260,252.5,3020 MARCUS AV,63115,0,0,6911,N,0,Church / religious,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13712000080,438.1,4652 ST LOUIS AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13712000060,442.1,4656 ST LOUIS AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
