neighbor_handle,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,suggested_hangers,near_demo_sites,notifications_needed
14470000290,4653 COTTAGE AV,63113,1,1,1110,N,1530,Single-family residence,1,4615 Saint Ferdinand Avenue,1
14471000010,4660 COTTAGE AV,63113,1,1,1110,N,1920,Single-family residence,1,4615 Saint Ferdinand Avenue; 4649 N Market Street,2
14845000155,5201-13 DELMAR BLVD,63108,1,0,5000,N,27300,"Commercial/retail, general",1,5206 Kensington Avenue,1
14845000165,5215-35 DELMAR BLVD,63108,1,0,5990,N,59100,Code 5990 (not in dictionary),1,5206 Kensington Avenue,1
14845000185,5239-49 DELMAR BLVD,63108,1,0,5990,N,52200,Code 5990 (not in dictionary),1,5206 Kensington Avenue,1
15638000050,1524 DICK GREGORY PL,63113,1,2,1118,N,5830,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue,1
15638000060,1528 DICK GREGORY PL,63113,1,2,1118,N,5730,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue,1
15638000070,1700 DICK GREGORY PL,63113,1,2,1118,N,5880,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue,1
15638000080,1702 DICK GREGORY PL,63113,1,2,1118,N,5900,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue,1
15638000090,1704 DICK GREGORY PL,63113,1,2,1118,N,5900,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue,1
15638000100,1710 DICK GREGORY PL,63113,1,2,1118,N,5900,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue,2
15638000111,1714 DICK GREGORY PL,63113,1,3,1118,N,5920,"Single-family variant, likely attached/row (?)",3,1803 Cora Avenue; 1825 Cora Avenue,2
15638000160,1726 DICK GREGORY PL,63113,1,1,1110,N,6380,Single-family residence,1,1803 Cora Avenue; 1825 Cora Avenue,2
15638000170,1728 DICK GREGORY PL,63113,1,1,1110,N,4760,Single-family residence,1,1803 Cora Avenue; 1825 Cora Avenue,2
15638000190,1802 DICK GREGORY PL,63113,1,2,1118,N,5920,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue,2
14474000050,1805 DICK GREGORY PL,63113,1,0,6913,N,8900,Religious-related building (?),1,1803 Cora Avenue; 1825 Cora Avenue,2
15638000210,1814 DICK GREGORY PL,63113,1,2,1120,N,2270,Two-family (duplex/flat),2,1803 Cora Avenue; 1825 Cora Avenue,2
15638000230,1820 DICK GREGORY PL,63113,1,2,1118,N,12030,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
15638000240,1822 DICK GREGORY PL,63113,1,2,1118,N,12070,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
15638000250,1832 DICK GREGORY PL,63113,1,2,1118,N,5730,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
15638000260,1900 DICK GREGORY PL,63113,1,2,1118,N,5900,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
15638000270,1904 DICK GREGORY PL,63113,1,2,1118,N,5860,"Single-family variant, likely attached/row (?)",2,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
14473000050,1907-15 DICK GREGORY PL,63113,1,0,6911,N,0,Church / religious,1,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
15638000310,1916 DICK GREGORY PL,63113,1,1,1110,N,290,Single-family residence,1,1803 Cora Avenue; 1825 Cora Avenue; 4649 N Market Street,3
13775030250,4568 DR MARTIN LUTHER KING DR,63113,1,0,5000,N,2700,"Commercial/retail, general",1,4599 Page Boulevard,1
13775030240,4570 DR MARTIN LUTHER KING DR,63113,1,2,1120,N,1140,Two-family (duplex/flat),2,4599 Page Boulevard,1
13775030220,4574 DR MARTIN LUTHER KING DR,63113,1,0,3421,N,5800,Code 3421 (not in dictionary),1,4599 Page Boulevard,1
13775030221,4604-6 DR MARTIN LUTHER KING DR,63113,1,0,5000,N,114500,"Commercial/retail, general",1,4599 Page Boulevard,1
13779000550,4821 DR MARTIN LUTHER KING DR,63113,3,0,6411,N,3600,"Repair services, often auto (?)",1,1336 N Euclid Avenue,1
13783000040,4849 DR MARTIN LUTHER KING DR,63113,1,1,5000,N,1710,"Commercial/retail, general",1,1336 N Euclid Avenue,1
13783000045,4851 DR MARTIN LUTHER KING DR,63113,1,1,5000,N,670,"Commercial/retail, general",1,1336 N Euclid Avenue,1
13783000060,4859 DR MARTIN LUTHER KING DR,63113,1,1,5000,N,780,"Commercial/retail, general",1,1336 N Euclid Avenue,1
13783000065,4861 DR MARTIN LUTHER KING DR,63113,1,1,5000,N,20,"Commercial/retail, general",1,1336 N Euclid Avenue,1
13618000200,4414 ELMBANK AV,63115,1,1,1110,N,290,Single-family residence,1,3010 N Newstead Avenue; 4458 Elmbank Avenue; 4461 Elmbank Avenue,3
14463000280,4415 ELMBANK AV,63115,1,2,1120,N,1860,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
14463000290,4417 ELMBANK AV,63115,1,2,1120,N,1880,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
13618000190,4418 ELMBANK AV,63115,1,1,1110,N,290,Single-family residence,1,3010 N Newstead Avenue; 4458 Elmbank Avenue; 4461 Elmbank Avenue,3
14463000300,4421 ELMBANK AV,63115,1,2,1120,N,3150,Two-family (duplex/flat),2,4458 Elmbank Avenue; 4461 Elmbank Avenue,2
13618000170,4422 ELMBANK AV,63115,1,1,1110,N,1240,Single-family residence,1,3010 N Newstead Avenue; 4458 Elmbank Avenue; 4461 Elmbank Avenue,3
